observation_date,MEHOINUSAKA672N,MEHOINUSALA672N,MEHOINUSARA672N,MEHOINUSAZA672N_20200915,MEHOINUSCAA672N,MEHOINUSCOA672N,MEHOINUSCTA672N,MEHOINUSDEA672N,MEHOINUSFLA672N,MEHOINUSGAA672N,MEHOINUSHIA672N,MEHOINUSIAA672N,MEHOINUSIDA672N,MEHOINUSILA672N,MEHOINUSINA672N,MEHOINUSKSA672N,MEHOINUSKYA672N,MEHOINUSLAA672N,MEHOINUSMAA672N,MEHOINUSMDA672N,MEHOINUSMEA672N,MEHOINUSMIA672N,MEHOINUSMNA672N,MEHOINUSMOA672N,MEHOINUSMSA672N,MEHOINUSMTA672N,MEHOINUSNCA672N,MEHOINUSNDA672N,MEHOINUSNEA672N,MEHOINUSNHA672N,MEHOINUSNJA672N,MEHOINUSNMA672N,MEHOINUSNVA672N,MEHOINUSNYA672N,MEHOINUSOHA672N,MEHOINUSOKA672N,MEHOINUSORA672N,MEHOINUSPAA672N,MEHOINUSRIA672N,MEHOINUSSCA672N,MEHOINUSSDA672N,MEHOINUSTNA672N,MEHOINUSTXA672N,MEHOINUSUTA672N,MEHOINUSVAA672N,MEHOINUSVTA672N,MEHOINUSWAA672N,MEHOINUSWIA672N_20200915,MEHOINUSWVA672N_20200915,MEHOINUSWYA672N_20200915
1984-01-01,81970,43850,39710,50353,64060,65360,75870,65410,50120,50620,73150,50320,53430,60170,57680,62390,44790,48000,68290,75260,52310,58180,61900,52630,39090,49490,52110,52620,54200,65650,70360,52260,65300,55800,58580,53570,54210,51540,54750,51450,49170,42510,58330,58410,67190,57200,63370,48750,39584,55972
1985-01-01,85210,44910,42750,54253,66100,69040,76170,56300,52290,51570,70950,51270,50860,60930,55550,55830,42530,51890,69110,73830,50270,59390,58450,53750,40210,49580,52550,51950,53410,64690,75900,50040,57020,57910,61670,51950,53640,56050,60330,49090,44450,43560,58170,61830,69650,63700,58800,52819,36316,50172
1986-01-01,75580,46110,45150,56944,69920,65540,78870,61770,55070,58740,69910,54130,50010,63900,54780,57670,47900,50350,73130,73770,56460,64130,63740,52850,39800,49000,52690,51840,52480,73630,76440,47830,63190,60320,60540,50490,59710,57380,63970,52950,47960,44000,58240,63350,71620,59290,64790,59021,36766,52610
1987-01-01,77480,46010,43890,57747,70280,61730,76620,68180,57100,62280,81650,51740,48390,63150,52500,59650,48200,49770,75170,81530,55020,64590,65470,55300,43160,47730,53060,52640,54250,75390,79830,48400,62660,61510,60090,50570,58380,59270,65960,58400,49310,49380,57640,61850,69930,59250,63690,56926,37147,59562
1988-01-01,74430,44850,45350,55079,68090,58940,81420,68580,57120,59730,74250,54650,52720,66380,59110,57480,44760,46080,74670,82180,59360,66260,65400,52710,40840,49980,54890,54170,56570,77850,81580,43380,62910,65010,62370,53210,62390,60120,67090,57410,50120,46890,56120,59160,73400,65170,72680,61621,40323,55046
1989-01-01,77550,45840,46160,56998,71090,57730,91150,69070,56180,59320,75460,56570,53100,67410,55780,57850,50150,49240,77720,77570,60780,66280,65010,57070,42900,51030,56870,54340,56680,80830,84260,48680,63190,67830,62500,50970,61440,61790,64880,51260,51920,48700,55750,66160,73480,67400,68840,58138,43274,58932
1990-01-01,80710,47970,46800,55598,68370,63120,79830,63270,54810,56610,79940,56050,51970,66840,55310,61450,50900,46020,74450,79810,56410,61490,64630,56140,41440,48010,54080,51890,56450,83810,79560,51430,65770,64880,61640,50080,60140,59570,65660,59020,50470,46400,57980,61910,72040,63870,65950,58427,42115,56047
1991-01-01,80490,48250,46450,56424,66720,62430,83540,64580,54010,53930,73820,56590,51760,63190,53690,58060,47100,50140,70780,73230,55230,63650,58420,55350,38600,49200,53220,51310,58560,71410,79370,52600,65280,63010,59040,50460,59830,60180,61110,54430,48830,48460,54960,55520,71620,57780,67320,57151,42491,53327
1992-01-01,80790,49880,46160,52585,67460,62790,78940,68960,52860,55660,81400,55550,53550,60980,55140,58650,45390,49170,70270,71910,57240,62370,59880,52880,39760,51270,53680,52110,58080,76220,75380,49980,61670,60020,60700,48870,61710,57760,58820,53300,50750,47000,54030,66200,73830,63310,65520,59660,36308,54109
1993-01-01,80970,47310,43450,53304,64260,65050,74530,68020,53850,59720,80460,54060,58490,61970,55590,56150,45980,49630,69910,75330,51750,61600,63530,54100,41850,49920,54360,53030,58480,71600,76390,50470,67550,59780,59010,49530,62500,58460,63200,49140,52310,47340,54180,67500,68720,58590,67250,55498,39172,51438
1994-01-01,83740,50200,47190,53554,65210,69830,75850,66210,54070,58080,77990,61060,58210,64750,51420,52280,49090,47390,74750,72350,55960,65120,62100,55720,46880,51000,55580,52190,58680,65050,78040,49660,66210,58880,58800,49820,58060,59190,58930,55090,54880,52860,56770,65920,69490,66080,61890,60562,40327,56715
1995-01-01,86470,46860,46550,51575,66730,73400,72560,62980,53630,61480,77260,64040,58920,68650,60200,54710,53750,50390,69550,74000,61050,65680,68400,62790,47850,50050,57660,52450,59370,70630,79200,46860,65060,59550,63000,47440,65590,62250,63760,52420,53330,52320,57770,65780,65310,60990,64130,68440,41577,52688
1996-01-01,92720,53230,47650,51497,68180,71940,73990,69050,53830,57090,73380,58340,60970,69480,61740,57240,56940,53160,69380,77280,60950,68910,72010,60190,46860,50390,62540,55280,59750,69230,83390,44070,67700,62210,59850,48200,62350,61310,64970,60900,51870,54090,58100,65070,68880,56840,64430,65112,41096,50384
1997-01-01,82540,54930,44990,52165,68270,74350,75650,74010,55820,63050,70400,58100,57450,71000,66880,62720,57530,57200,72270,80290,56360,66630,73200,62870,49010,50240,61640,54450,59660,70510,82590,51740,66820,61570,62140,53920,64060,64520,59850,58930,51070,52690,60320,73570,73880,60290,76640,63087,43797,53253
1998-01-01,86010,61530,46940,58306,69450,79060,78910,70340,59230,65600,69270,62810,62230,73260,67410,62290,61510,53840,71850,84860,60470,70960,81320,68210,49410,53580,60810,51420,61780,76280,84540,53520,67450,63450,66040,57220,66280,66200,69030,56440,55630,57840,60710,75160,73560,66800,80460,64967,41979,55414
